,n,r2,rmse,mae
LightGBM,298.0,0.98837165406811,8.86452608811467,5.621183131048729
XGBoost,298.0,0.9930111146641019,6.87227466266355,4.072706318541661
RandomForest,298.0,0.9920657173487658,7.322348330086059,4.316442953020133
